geometry,gridId,Weekday,hour,Speed_value_mean
"POLYGON ((7.106123055027474 52.18764252730609, 7.107278031821342 52.18764252730609, 7.107278031821342 52.18743600050706, 7.106123055027474 52.18743600050706, 7.106123055027474 52.18764252730609))",265_0_22,0,22,50.600057023763654
"POLYGON ((7.113052915790681 52.18950122532928, 7.11420789258455 52.18950122532928, 7.11420789258455 52.18929470716385, 7.113052915790681 52.18929470716385, 7.113052915790681 52.18950122532928))",265_6_13,6,13,47.21016257684678
"POLYGON ((7.115106207868669 52.20416156326215, 7.116261184662538 52.20416156326215, 7.116261184662538 52.20395511320116, 7.115106207868669 52.20395511320116, 7.115106207868669 52.20416156326215))",572_0_22,0,22,111.4263795989876
"POLYGON ((7.122036068631877 52.20601957064934, 7.123191045425745 52.20601957064934, 7.123191045425745 52.20581312922067, 7.122036068631877 52.20581312922067, 7.122036068631877 52.20601957064934))",572_6_13,6,13,107.51261035352945
"POLYGON ((7.115106207868669 52.19865590005318, 7.116261184662538 52.19865590005318, 7.116261184662538 52.1984494244141, 7.115106207868669 52.1984494244141, 7.115106207868669 52.19865590005318))",573_0_22,0,22,99.28402851615101
"POLYGON ((7.122036068631877 52.20051413764101, 7.123191045425745 52.20051413764101, 7.123191045425745 52.20030767063469, 7.122036068631877 52.20030767063469, 7.122036068631877 52.20051413764101))",573_6_13,6,13,103.75000154227018
"POLYGON ((7.115106207868669 52.19314955474571, 7.116261184662538 52.19314955474571, 7.116261184662538 52.19294305352728, 7.115106207868669 52.19294305352728, 7.115106207868669 52.19314955474571))",574_0_22,0,22,87.07270024996251
"POLYGON ((7.122036068631877 52.19500802254554, 7.123191045425745 52.19500802254554, 7.123191045425745 52.19480152996029, 7.122036068631877 52.19480152996029, 7.122036068631877 52.19500802254554))",574_6_13,6,13,92.03647368475795
"POLYGON ((7.115106207868669 52.18764252730609, 7.116261184662538 52.18764252730609, 7.116261184662538 52.18743600050706, 7.115106207868669 52.18743600050706, 7.115106207868669 52.18764252730609))",575_0_22,0,22,79.15045454565968
"POLYGON ((7.122036068631877 52.18950122532928, 7.123191045425745 52.18950122532928, 7.123191045425745 52.18929470716385, 7.122036068631877 52.18929470716385, 7.122036068631877 52.18950122532928))",575_6_13,6,13,82.59056974215699
"POLYGON ((7.124089360709864 52.21517084351927, 7.125244337503733 52.21517084351927, 7.125244337503733 52.21496444461068, 7.124089360709864 52.21496444461068, 7.124089360709864 52.21517084351927))",880_0_22,0,22,113.07594878971577
"POLYGON ((7.131019221473072 52.21702839053928, 7.13217419826694 52.21702839053928, 7.13217419826694 52.21682200026213, 7.131019221473072 52.21682200026213, 7.131019221473072 52.21702839053928))",880_6_13,6,13,114.93984067440033
"POLYGON ((7.124089360709864 52.20966654440629, 7.125244337503733 52.20966654440629, 7.125244337503733 52.20946011992213, 7.124089360709864 52.20946011992213, 7.124089360709864 52.20966654440629))",881_0_22,0,22,113.92449931427836
"POLYGON ((7.131019221473072 52.21152432160419, 7.13217419826694 52.21152432160419, 7.13217419826694 52.21131790575193, 7.131019221473072 52.21131790575193, 7.131019221473072 52.21152432160419))",881_6_13,6,13,94.01751217395068
"POLYGON ((7.124089360709864 52.20416156326215, 7.125244337503733 52.20416156326215, 7.125244337503733 52.20395511320116, 7.124089360709864 52.20395511320116, 7.124089360709864 52.20416156326215))",882_0_22,0,22,113.49999915063381
"POLYGON ((7.131019221473072 52.20601957064934, 7.13217419826694 52.20601957064934, 7.13217419826694 52.20581312922067, 7.131019221473072 52.20581312922067, 7.131019221473072 52.20601957064934))",882_6_13,6,13,111.50000020116568
"POLYGON ((7.124089360709864 52.19314955474571, 7.125244337503733 52.19314955474571, 7.125244337503733 52.19294305352728, 7.124089360709864 52.19294305352728, 7.124089360709864 52.19314955474571))",884_0_22,0,22,99.9085063089927
"POLYGON ((7.131019221473072 52.19500802254554, 7.13217419826694 52.19500802254554, 7.13217419826694 52.19480152996029, 7.131019221473072 52.19480152996029, 7.131019221473072 52.19500802254554))",884_6_13,6,13,106.33333307504654
"POLYGON ((7.124089360709864 52.18764252730609, 7.125244337503733 52.18764252730609, 7.125244337503733 52.18743600050706, 7.124089360709864 52.18743600050706, 7.124089360709864 52.18764252730609))",885_0_22,0,22,100.13484998047352
"POLYGON ((7.131019221473072 52.18950122532928, 7.13217419826694 52.18950122532928, 7.13217419826694 52.18929470716385, 7.131019221473072 52.18929470716385, 7.131019221473072 52.18950122532928))",885_6_13,6,13,106.00000236928463
"POLYGON ((7.13307251355106 52.22617739578664, 7.134227490344928 52.22617739578664, 7.134227490344928 52.22597104802536, 7.13307251355106 52.22597104802536, 7.13307251355106 52.22617739578664))",1188_0_22,0,22,110.54373183846474
"POLYGON ((7.140002374314267 52.22803448248497, 7.141157351108135 52.22803448248497, 7.141157351108135 52.22782814335431, 7.140002374314267 52.22782814335431, 7.140002374314267 52.22803448248497))",1188_6_13,6,13,143.0000042617321
"POLYGON ((7.13307251355106 52.22067446063481, 7.134227490344928 52.22067446063481, 7.134227490344928 52.2204680873005, 7.13307251355106 52.2204680873005, 7.13307251355106 52.22067446063481))",1189_0_22,0,22,114.30865824967623
"POLYGON ((7.140002374314267 52.22253177748829, 7.141157351108135 52.22253177748829, 7.141157351108135 52.22232541278503, 7.140002374314267 52.22232541278503, 7.140002374314267 52.22253177748829))",1189_6_13,6,13,141.75000158697367
